,finale,sentiment
323,tw mentioning mental illness sender cape bgt udah tahun lebih obat sampe sekarang rasa nemuin obat bener pas minum jangka panjang ato ga ngurangin dosis coba terus efek macem sering cemas kalo alam cont,N
324,ortuku jadi toxic gin sihh satu selingkuh satu chat mulu sm suami orang mau nang aku liat tp gabisa apa mnaa skripsi pgn minggat rasa kalo dah punya kerja,N
325,cepet banget udah november kalian ngerasa taun cepet banget ga si,N
326,kesel banget ga si kalo buka trending twitter isi nya ga sesuai,N
327,sedih ga sempet nang cape bgt gue hari rencana nang tunda besok tp abis tidur ma sedih yauda gitu aja curhatnya anw welcome novemberrr,N
328,pernah gak sih diem terus tiba tiba pikir do i like him that much asdfghjklqwertyuiop,N
329,ga punya pacar ga nyakitin tetep dengerin lagu galau brutal dispotify cung tco,N
330,kalo cowok udh blg maaf aku butuh sendiri dlu arti pgn sendiri ga mau hubung lg beneran ga si cuma alesan doang,N
331,bilang beban ga hasil sama ibu sendiri padahal ibu tau aku sampe skrg usaha aku tp kalau blm mau nerima kerja aku apa aku hak buat sedih kan,N
332,sender tdi bantuin tmn ngerjain tugas kuliah trs nyesek pas ngomong ko si ngerjain soal kan ajar kuliah ko ngerti syg bgt pinter ga kuliah udah cmn mau crta aja,N
333,adekku jam gin blg kak besok suruh buat tabung karton walaupun marah ttp aku jwb yaudah titip karton tetap dikerjain untung suruh cangkok biji jambu km kalau iy dah aku obrak abrik isi rumah,N
334,kadang ngasih sempat gaperlu soal malah lebih disepelein,N
335,ikan hiu makan tomat gak lah hiu kan ovovivivar,N
336,guys tolongg bgt dong marahin aku dong plss aku kmrn beli pc photocardd bias ku skrng jadi ken beli lagiii soal pc bias ku tuh aduhh lucu bgt ishhh aku gamau ngeluarin duit trs nyesel gmn yahh aduh pgn beli bgt marahin cont,N
337,dongg aaa,N
338,kirain kosong nyata already have a crush tco,N
339,beberapa bulan lalu aku deket naksir sama orang udah engga turut kalian mending confess sekarang engga biar lega aja sih aku mau lepasin aku udah ga pernah ngobrol irl chat satu departemen kampus,N
340,gila kamar sama wc sender tiba semua lampu mati kipas mati pas aku liat saklar lampu turun colok kipas lepas sendiri,N
341,awal putus sebenernya aku sayangg banget harap kamu ubah kangenn banget yaudah mungkin emang ga jodoh,N
342,wajar ga ken panggil cantik bilang cantik sama pacar sender panggil cantik sama pacar sender diitung jari alias jarang bgt,N
343,yeah i miss you tco luj yzoan,N
344,and letting go,N
345,when you love someone willing to learn about them and everything that excites them,N
346,kurang dr bulan lalu mohon balik ekwkw tp cepet banget skrg moveon ahhaha taheee,N
347,bm pop es bangettt padahal hujan deres udah nahan jam gak tidur,N
348,habis gaji diri sendiriii,N
349,im done mau coba akrab read doang gin nyerah aku aku cerewet makin jijik resah tco chuytegf,N
350,terkadang beberapa orang ngatur cara bahagia orang terima beda aja susah bener lama ga ngerugiin kalian,N
351,teman kuliah semester atas lucu cuyyy ytta,N
352,cari gas buat masak knp susah bgt dehhmmm kan suruh sampe dapet,N
353,klik trending isi orang jual doang ganggu banget,N
354,if tomorrow exist what will you do,N
355,trust issue tco,N
356,muslim aku mau nanya dong gas doa buat tenang batin isi kepala kemarin berisik bgt semua jdi serba ga fokus masuk solat tdi sempat salah,N
357,sumpa aku gasuka hari selasa huhu aku mau tidur hari aja,N
358,aku jarang minta sama orang temen temenku kadang bilang kalau butuh bilang cuman udah biasa lakuin sendiri aku ga gitu minta kalau udah ga ngatasin sendiri contoh ga gerak jadi pikir kalau aku cont,N
359,anggap sombong sama orang orang aku biasa mikir kalau minta bantu orang butuh balas padahal aku kalau nolongin orang ga pernah ngarep balesan aku apa aku terlalu tutup,N
360,yhaa diginiin tco,N
361,mau first meet sama cowo anon tele doain abis ketemu kaga ghosting ygy,N
362,bimo maafin aku mulu,N
363,gue abis mimpi pacar sama crush gue twitter seru bgt mimpi anjrt langsung sedih,N
364,sedih bgt crush malah temen gue sendiri,N
365,crush ngejauh insecure sama gaya hidup aku padahal cuma update makan bk sama br doang sedih banget but i know my worth and its totally their loss anyway,N
366,pusing banget orang tua lengkap ngeributin masalah finansial mulu,N
367,pls noticeee punya meme ikan hiu makan tomat gakk sender butuh huhuu,N
368,cowok kalo insecure sama gaya hidup cewek langsung mundur gitu padahal gue gapernah nuntut apa apa,N
369,kalau sama pacar rasa ken jadi orang lemah ken jadi bayi manja manja only kalau sama orang langsung grrr sangaar ,N
370,aja sekarang lebih takut semua dihadepin sendiri gabisa kabur wajar gasih aku capek kayak gin terus gatau hrs gmna,N
371,pernah ga pikir tiba tiba mau hilang aja satu minggu biar tau nyariin khawatir sama siapa aja,N
372,kalian pernah fase baru berangkat sekolah rasa ken langsung pulang gegara kelas ngerasa sendiri g punya temen,N
373,gimana cara ikhlas sama gimana mantan nyakitin aku kadang ngerasa gak adil udah bahagia sama pacar baru aku struggle sama trust issues aku buat sama,N
374,aku teman sama semua orang tetep ngerasa sendiri ken tau rasa kalai cerita baru langsung nyari aku tco,N
375,kopi ku jatoh gaissedi bgtpdhl lg bm tco yftk,N
376,capek banget ril tco mjirs,N
377,gin banget nasib jadi figuran circle selalu aja tinggal ga ajak haha,N
378,bener nih kalo ngechat cuma p doang mana nyepam ga pernah aku bales tco jslxcic,A
379,sp lgi pilek cungg,A
380,siapa anak kos duidnya udah habis tp takut minta ortu saia kack,A
381,pedes manis aku sih pedes,A
382,siapa pernah ngirim mf terus ikut nimbrung ngerep sayaaa,A
383,ig nya kesuspend cung,A
384,buu guruu b indoo akuuu seruuu bgttt tco,A
385,jauh jarak bahagia kawan,A
386,ken sukses kerja scroll twitter,N
387,tuju pak tpi kritik mmbangunnya klo ngatain orang iblis ato setan sdh maki,A
388,tuju gak,A
389,nah tuju sekali,A
390,live masyarakat hak kritik apa bahaya mozaik ubah eps publik kaget ruu kuhp muat banyak pasal kontroversial sah mmg fraksi parlemen dominan tuju tdk tuju aku tak beri hak interupsi tco tco,A
391,tuju gus muhaiminapa ucap bupati meranti rupa sambung lidah masyarakat daerah apa rasa inikritik bangun cari solusi baik bukan sudut,A
392,erk ph bn tak kahwin macam pas kahwin masuk mn pn ye ph bn coalition berbeza bn tuju nak form raja sama ph pn taknak jangan royan,A
393,tuju,A
394,mantap tuju gus,A
395,sorry tpi tuju sm wkwkwk,A
396,what kuliah lebih murah kalo si sender mau kuliah lebih murah banyak kampus harga murah gak jurus didik situ kurang tuju yaa kalo kuliah didik bilang murah,A
397,gue tuju,A
398,kata hukum berat berat laku leceh seksual gilir laku amuk masa ikut ga tuju malah kes bain si laku aneh dah emang goblok tolol,A
399,tuju,A
400,tuju gus,A
401,mau jgk gitu uda bilang mamah and belio tuju cumaa jodohnyaaa aja sih tco,A
402,tuju poin ngebayanginnya aja udah merinding biar latih perang senjata api tetap manusia milik rasa takut sama mati jangan disamain main free fire pubg sama counter attack,A
403,tuju,A
404,tuju,A
405,nah tuju nih aylopyu,A
406,tuju,A
407,tuju gus,A
408,aku curhat ttg crush emak emakku sgt tuju masalah orgnya mau g,A
409,tuju,A
410,tuju gus muhaimin,A
411,duh bener nyata iya tuju banget beneran jarang nemu au ambil sudut pandang masyarakat tengah bawah kyk cerita,A
412,tuju gus,A
413,sangat tuju sekali kak bikin hati jadi tenang,A
414,tuju arthur mulai peperangan,A
415,tuju,A
416,tuju mamubenda baik kena sokongpuak puak tiktok insta kira nak ambik gmbaq jabkn nak nikmat makan tu he he,A
417,cowok kalau udah nang begini tanda sayang banget iya sayang sama ban sp sport sih soal bikin nyaman senyap buat ajak unlimitedjourney mana tuju kan drivemate experiencewithdunlop dunlop dunlopindonesia unlimitedjourney tco,A
418,tuju bgt kalo gatel langsung kurang kalo aku,A
419,iya tuju jelas buat asumsi liar asumsi liar investasi bwt podcastny dijadiin corong,A
420,tuju semua buka gak anti kritik kritik jg konstruktif sifat bangun destruktif,A
421,tuju gus,A
422,tuju bong krn datang quran dungu ubah jadi akal sehat cebong mana ngerti,A
423,tuju,A
424,aku tuju ganti si ca jujur salah ketik mulu mau rekomen temen,A
425,gue vt buat lo sorry banget gue ngetawain kali menit critanya bapak ga tuju krn jn cm jual pop ice tco,A
426,tuju gus,A
427,tuju orang asing kalau kilang tak elaun just gaji basic je apa diaorg sanggup lari cari kilang tau,A
428,semua tuju,A
429,tuju gus,A
430,tuju digebukkin tco,A
431,iyaaa tuju,A
432,tuju bubar pak presiden krn sdh tdk punya taring alias ompong,A
433,tuju,A
434,influenced by jane bilang makeup sendiri pas nikah krn pen pake mua pas nikah aja biar pangling w jadi tuju wisuda besok makeup sendiri aja dah mua nya pas nikah aee,A
435,sangat tuju gus muhaimin kritik bangun,A
436,tuju,A
437,tuju tum ahy ahypimpinperubahan,A
438,yess tuju,A
439,tuju,A
440,sy tuju min,A
441,tuju bantu sekali mantap bangga tco ganjarhebat,A
442,tuju,A
443,kalau kata pernahsaya tuju,A
444,apa tuju,A
445,siaaap tuju gus kritik bagaimana jadi masuk lebih tingkat kualitas lebih baik,A
446,tuju guss mantap,A
447,sangat tuju gus muhaimin,A
448,nah kalau aku tuju kak,A
449,tuju gus,A
450,tuju banget bersamajuara ridwankamil tco htjmmnfwsz,A
451,tuju sering salah tempo keburu mahasiswa bilang teknik wkwkw,A
452,lol tuju rasa sakit org lg happy another level of sakjiw iya jiwa sakit sila sembuh dulu biar ga ketrigger pas main sosmed,A
453,sip tuju,A
454,tuju bantu sekali tco wgea jokowihebat ino harianto polresta balam,A
455,tuju,A
456,tuju budidaya kelapa genjah waktu panen relatip cepat buah lebat,A
457,tuju,A
458,tuju guse,A
459,tuju,A
460,nder tuju banget kejuuu enak parah aku sama pacar bangettt,A
461,tak tuju,A
462,nek iki rodo tuju,A
463,kelas pak dudung selaku kasad tdk perna klaim opm terorisbahkan dunia internasional tdk tuju sebut teroris jadi ada ngada,A
464,kata cadang tu muhyiddin kalau kata cadang mana mungkin ydpa minta utk sign dokumen tuju tolak cadang baginda kalau bukan gabung dah ydpa panggil istana bangang hg ni sbb ni kalau gabung cukup la simple majority,A
465,heh iyaaa tuju bgttt love jg jd lagu no paling dr dulu smp skrng selalu nangkring paling pertama wkwkwk enak bgt soal apa lg haechan candu bgt,A
466,tuju gus muhaimin kritik konstruktif perlu,A
467,tuju gus,A
468,tahun mula internet fiber wujud la sekarang dah hujung nak masuk alas at least xx duduk tuju baru tarik kabel tak fiber semua tempat padahal tm monopoli kot tco,A
469,tuju dasar orang punya rejekinya masing,A
470,hehe gak tuju,A
471,tuju,A
472,pas gue jd headhunt kl nyari org kedapet cv model gtu emg dsuruh skip krn anggap ntar ga kompeten gtu gue tuju ama salah repnya kl beda budaya jaman dlu ama skrg tco xccr,A
473,tuju gus,A
474,semua orang tuju ikeu sangat gemas lucu,A
475,hehe tuju sih ronaldo pernah lebih baik,A
476,tuju,A
477,tuju nih,A
478,tuju tp knp minimal admin dr minimal dr dar aparat kait apa ga lihat pura cuek soal begini,A
479,tuju,A
480,pp mu jelas semua aku tuju bola bulu tepok,A
481,wkwk tuju bolong bre,A
482,tuju bang,A
483,tuju gus,A
484,tuju cak imin apa bupati meranti juang tingkat miskin ekstrem tinggi moga solusi,A
485,tuju,A
486,tuju,A
487,tuju tco pcljbbnyya,A
488,tuju walaupun story linenya standar visual gila cantik banget apa visualisasi bawah laut juara,A
489,eh aku tuju tuh bagi haje au belah sering bnget jd anak bandel nya tiap kali ku baca aku ampe kyak aelah asa dpet peran nya gk jauh dr kalo bner jd cast tmen ama si per utama au nya keitung jari,A
490,tuju anjing aja masuk surga nah kl kadal gurun,A
491,even tak pernah keluar dating i tuju,A
492,tuju gus terkadang buah kritik buat makin maju,A
493,tuju gus terkadang sekal kritik perlu bs bangun motivasi lebih baik lg,A
494,tuju tco,A
495,tuju mediocre only tco dmyqbwrqsh,A
496,tuju gus,A
497,tuju tepat sekali,A
498,bwner bgt tuju ky ni duit pake apalahi,A
499,tuju sih tp biar messi fix jd goat kalo menang pd tetep lebih ngefans sama ibarat lebih telor dadar padang rendang nobat jd makan enak dunia,A
500,maaf ga tuju maksud ga semua tuju jugakansoalnya aku rarepair aku nemuin tulis aunya gapernah masukin pair populer awal aku mikir persis gin pas lihat nyata gasemua kaya gitu tco zsma,A
501,jeno sm karina pacar aja si kata gue mamak kau tuju ayo rugi kalo ga pacar,A
502,cadang nama twitter baru rse ssuai antoine griezleman mal pon dh tuju tu bole proceed jap lg laa ni,A
503,tuju,A
504,tuju bgtt pak anies sosok toleran itstime tco kiiojbdogi,A
505,tuju gus positif thinking,A
506,baru kali tuju ama buzzer wkwk,A
507,tuju perintah tegas,A
508,tuju banget skill gak banyak pilah pilih kalo tuju emg pgn gaji gede karna iring jalan waktu kalo emg punya skil alam kerja nyari bukan nyari,A
509,tuju gus jadi buah kritika jadi suatu motivasi bangun negri,A
510,tuju gus muhaimin iskandar,A
511,tuju,A
512,tuju kritik masuk baik makin maju,A
513,alexis sanczhes main baik dunia retweet tuju,A
514,jujur tuju bgt baca narasi kayak namparr aku hahaha makas kak dhanii tco,A
515,ketik kalau tuju wony gemes banget,A
516,tuju asli,A
517,hi kak rdw bantu akun twitter mohon maaf kait bonus sudah balas tuju ingin tanya langsung via dm info detail nomor thanks,A
518,gue tuju orang rumah nerima makan salah tanya dulu gak beli makan trus driver biasa kan dulu pesan kak blablabla biar gk salah alamat tco tgbzucayiz,A
519,tuju gus terkadang kritik jadi kan motivasi depan,A
520,tuju gus muhaimin,A
521,surat tuju terima sign tak tanya kali,A
522,sangat tuju soal banyak org dlm tanda kutip malas kata rezeki udah ngatur mau keras apa tetep gin aja tutup kalo enggan laku progress kerja keras tuhan jadi beri rezeki upa ex sehat,A
523,tuju terorisme berantas ham jadi dalih yg lebih dulu harga hidup manusia,A
524,tuju,A
525,yup tuju mcm tgk drama turkey,A
526,tuju,A
527,tuju ni diam orang mention diam juburrr tco,A
528,siap tuju gus,A
529,ni tuju jangan normalize,A
530,mjb tuju gua,A
531,tuju sekali jalan tengah bijak moga jadi opsi selesai,A
532,tuju sii kadang sisi tuju alias kalau mau cemburu lo siapa,A
533,tuju g banyak ngeblok publik figur ga enak liat gua ngepost jek gitu buat apa,A
534,tuju banget jrit vocalnya merinding parah tco jbjlk,A
535,om ded jujur deh lama kerja utk bin kan bpk angkat om ded mantan ketua bin mungkin lama jasa bocor dunia hitam dunia artis teman komika oknum harga baik angkat jadi letkol tituler klo alas tuju om ded,A
536,tuju gus,A
537,woi serius laron makan ga mual,C
538,canda serius tco orshfjaluv,C
539,tags bxb college au local au fluff slice of life notes penggal kisah romansa sederhana jadi jangan ambil hati judul kurang s mohon maklum,C
540,serius siapa,C
541,anjir gue udah jarang bgt ngomong serius cuma gelitik ajaa sama bbrp ig mutuals gue pernah jadi coworker bahkan spv gue tuh tauu rasa kalo woyy brand company lo bom settle sisi manajerial tuh amburadul banget,C
542,tuhan aku benar benar ketemu buaya darat sekarang aku gabisa bedain mana cowo seriuscintasayang mana engak haha,C
543,mending beli live theme skz gak aku uda skz pfp nya uda beli ken beli live theme uang uda buat apa ken serius buat apa,C
544,serius ngeduluin char fav banget dulu soal shenhe buat complete team ayayaku moga kespook wanna hug tco jmode,C
545,nah,C
546,kuartal iii laba bri terbang besar year on year yoy karena bri serius terap esg kinerjabriq,C
547,drama pertama w latar raja drama buat w akhir nnton utqu gua gak drama raja krna trllu bnyk istilah raja bikin w pusing drama buat w gak trllu pusing sma istilah krna alur gak trllu serius tco,C
548,beneran dah mending tugas individu grup begini gapapa banget dah banyak mah bocah kelas ku banyak kalau urus tugas ga serius canda mulu ampe kagak kelar kelar dah tuh tco hmpqynucit,C
549,sama kadrun inti jgn terlalu tanggepin serius aja entar ikut jd kok,C
550,serius sini rasain stop samsat carrefour wkwk,C
551,ahy ungkap tiga masalah serius ri demokrats ahy pimpin ubah berjuangbarengahy tco,C
552,waktu mode serius troll teman bangsat tco ttdkguenzw,C
553,deh buat kakak kudm klo serius kak,C
554,gqmoty hadirrr coba hadiah udah tahun gue gak pernah pesan jiwa toast serius tco wxptodjo,C
555,serius lihat dah,C
556,tanya serius cara bungkus gimana sih newwiee legoxtaynew tco guohp,C
557,lho cari anak buah si oneng hehehe,C
558,kalo punya kucing aku gk benar laku mama tp coba masalah kamu lebih jaga sama hati hati sama kondisi kucing mama,C
559,hati hati,C
560,ajar nolak jgn takut sama siapa sama guru ppl,C
561,adek gua lebih nder kalo pasang behel makan hati hati banget dulu adek gua kalo makan apel gaboleh langsung gigit takut bracketnya nyangkut,C
562,hati mungkin selimut kelabu dingin panjang panjang jalan kenang singgah hati hati ayam enak makan jangan banyak kayak apa sih punya sendiri kan,C
563,mngerikan hati hati,C
564,jalan sayang planrathavit tco,C
565,deket hoon hyung ikut ngebughati hati tco xafjum,C
566,kavin nnti pas hati hati pulang yh,C
567,minum gelas kalau lepas pecah cinta hati selalu ikhlas cinta buta makan hati,C
568,hati hati jangan silap langkah,C
569,kadang mikirin aja udah bikin nang bangga banget sama koko rantau satu juang ga mudah nekat pergi jauh negeri orang kalo sampe nyakitin awas aje,C
570,hey u urat kenceng awas ledak,C
571,lee awas ye tandain luuu tco,C
572,iya disimpen awas kalo jadi pengganjel lemari,C
573,dik awas nyamuk masuk,C
574,awas aja kalo besok beneran jadi malem trs ngapain td nyamperin ambil ktp guwehhh,C
575,awas bang jali,C
576,ntar ganti pas irun update wkwk awas aja lama ilhoon,C
577,rokok mahal banget anying beli berapa cokelat nyesel nawarin ram marlboro awas u man pelit ma gua esse u gua ganti marlboro kane kan,C
578,nonton kece jagain ponakan kembar nih nder tp awas jgn kenceng volume tar km budeg tco jrnjudo,C
579,     joanna,C
580,awas kangen,C
581,ga bs nonton berak,C
582,awas terkam loh po gqmoty tco,C
583,awas aja ntar sifat plek ketiplek bapak wkwk,C
584,sakit nih tamira sama zack beneran sakit jiwa sampe gak penjara tahun awas aja lo anjirrr sakit lo,C
585,ih eyan awas surup,C
586,awas lo kalo sampe ngide bikin stage buat jet musuh aku hapus semua foto galeri tco,C
587,hduh awas sruduk banteng merah,C
588,yayyy awas galau pulang,C
589,nov aku minjem spylater hari udah aku lunasin belah kiri kok terang total blm lunas pas klik muncul gambar kanan gapapa kan maksud emang bener begini tco twehrsbwab,O
590,mohon bantu temen temen penuh kriteria isi skala teliti yaa link aku kirim rep terima kasih tco,O
591,kurang banya responden makasii tco dkjv,O
592,sender begini kalian gin ga tco imos,O
593,coba rating hari kalian hari sender kacau banget hari haha,O
594,kalo milih kalian ken hidup jadi apa sender siput,O
595,hy sender kapal pandang bulan tco,O
596,kalian pacar posesif kaya gmn aku bilang posesif sama pacar sediiih,O
597,terimakasih udah bantu jawab tco,O
598,kapan yh tiba tiba ngirim pap lalu ngasi semangat tiap gin ken pacar hikd,O
599,drop meme bapa bapa dong tco,O
600,gimana sedang malah main mulu sama temennya bahkan sampe jam sender udah coba kasih masukann tetep ngomong waktu buat kerja tco vci,O
601,klo blnja alfa indo byr pake qris minimal beli nya egk,O
602,airpods kalian pernah ngga volume naik sendiri gitu padahal lg diem bikin kaget bgt asli,O
603,hp sender warna hitam mending beyii mana tco hrowd,O
604,saranin barang apa bagus buat tukar kado acara kantor dongs min tenkyuu,O
605,temen temen apa punya foto kucing sperti tco,O
606,you did well today so proud of you,E
607,nangiss bangett huhu kalo emang ga mau punya anak ken enak doang knp ga minum aja sii kek yaallah ga mikirin bayik nya tco afbynx,N
608,kalau minta buat presentasi sehat mental tp gaboleh pake ppt enak pake media apa titip,O
609,potterhead cung,O
610,benci bgt sm diri sendiri kalo lg moodswing gin,N
611,ngerjain tugas banyak kgk masuk akal tenaga gue lngsung abis rasa,N
612,titip aku cowo mau serius sama cewe cewe udah punya anak anak rawat ortunya dulu hamidun orang gak tau aku mau serius aku gamau kalo ortuku tau kalo cewek punya anak mending aku bilang sama ortuku gak kalo cewek cont,O
613,punya anak,O
614,pas pdkt rajin ngobrol pas pacar tinggal terus sorry random thoughts,O
615,keluarga haji bolot kangen naik vario sama kaziro goethe,O
616,sender gc sirkel tmn smp skrg sender udh sma tp akhir ga muncul gc krn rasa gaada tenaga buat jbjb bahas kadang ga erti sender krn snder jauh dr jd jarang ketemu beda sm member tiap hari ketemu enak cont,O
617,muncul lg kaya gmn apakh sender ikut jbjb aja pas gc ny lg rame malah buka obrol minta maaf krn sengaja ga muncul gc pdhl sosmed ttp aktif huhu bingung,O
618,emang salah kalo cewe makan nasi padang habis soal temenku selalu nyeritain semua temen kalo aku makan nasi padang habis cerita tuh ngejek gitu wkwkwk bingung banget,O
619,ken ajar toefl yucub saran,O
620,izin ku benci sang ganti,N
621,kalian kesel ga kalo diginiin sama ortu kalian tco raqmqchngm,O
622,ken ngobrol sama kucing aja capek ngobrol sama manusia,N
623,saranin lagu vibesnya kaya gin dong tia tco,O
624,wdyt sama cowo udah punya pacar tp malah salting cewe padahal udah menuhin love languange huhu sakit pas liat baper sama,O
625,bosen banget,N
626,sekarang udh masa cape harap sama manusia mending harap sama allah aja hehe,N
627,gn everyone sleep well tco,E
628,gin deket kampus sender daerah kalian berapa tco,O
629,halo doi ku tadi habis jalan sama adeknya trus kirim pap adeknya aku komen adekmu cantik gitu trus kasih nomer adeknya nah aku dah intro say hai sama adeknya bingung mau bahas saran dong gess bahas topik apaa gitu biar gue ga kira aneh btw cont,O
630,aku cewe jg thankyou sebelumnyaa,A
631,ootd buat dateng wisuda ga terlalu liat heboh gimana aku dateng wisuda baru kali pas kakak aku wisuda aku pake bawah rok batik gitu kalo dateng wisuda temen pake bawah rok batik aku takut liat too much soal,O
632,mau bikin teh manis anget udah gosok gigi kalo kumur mouthwash aja gapapa ga sih,O
633,i know ur not okay right now babe but remember that besok pas,C
634,emang ngedate tuh hrus pacar dulu,O
635,pernah gaksih kalian nang gara gara klian bahagia banget punya pasang kalian sekarang ingat jaman skrg susah bgt cari pasang beneran niat serius sm jd pas skalinya pny jd nang mikirin bahagia untung kamu,O
636,kalian tim phone case gonta ganti hidup semat buluk tak duli tco kmg,O
637,sekali sender ken nonton malem soal ga wcup sebutin dong tco,O
638,duduk twitt rules pake jantung tangan tidur hati sibuk leh ga kirik menfess masuk rumah keluar kuping kanan belok kiri leh ga akal cuman maghrib sampe leh ga,O
639,aku mau tidur takut denger suara petir luar rumab mungkin hujan deres ga sih kalo suara petir bikin jendela getar,O
640,aku mau minta saran baik aku pribadi emg cuma nganggep temen nyaman sm temenku bagai temen titip tco hwahnx,O
641,meme model badut gin dongg tco,O
642,nyadar orang paling aku butuhin nyata ngajarin aku buat ga butuhin siapa siapa,N
643,how is it feels when u ngilang tp bestie u kaga nyariin samsek wkwk,O
644,ritual lo tidur apa guys,O
645,guys brand local apa jual dress lucu short long bantu spill toko online nya dong,O
646,nanya semua cwk wangi parfum nya tips parfum tahan lama tco amqx,O
647,cw titip tco yquazybjpu,O
648,rekomendasi drakor vibesnya mirip dong maacii tco,O
649,recommend netf movies dong jangan viral akhir,O
650,kalian cewek pernah pegang sama cowok meski kalian jadi pacar,O
651,ayo r te nama panggil kalian alas panggil apa dongg guys,O
652,samsung plisss adain fitur skrinsot tiga jari dong skrinsot swipe samping sulit poll,O
653,kalian pernah ngerasa nama kontak doi tu pengaruh ga si misal ganti nama jadi sering antem gitu wkwkw,O
654,sender nang terus tetangga kost kamar jauh dr sender ngechat gin langsung henti soal kaget nyata kedengeran jauh tco lha,N
655,eh guys kalian pake iphone pas mau download appstore jadi bayar ga gimana ngatasinnya skrng twitter emg jadi bayar,O
656,no salty plissender cmn mo nanya doang jdi temen akuak cmn post sw spain gegara gavi lewat tiktokterus jbjb sw akblgkalo tim ak pegang bkalan kalahalhasil beneran kalahak mah sntai ajatp entah knp kek manas gitu gegara basic ak kpopers cont tco,O
657,sok blagu tau bola katanyatiba jdi fans dadakanpdhl apa salah ak cmn nntn doang and ak ghibain k tmn nya fyi cowo salah yah akusmpe gin bgt pamer sw,N
658,malem malem gin enak makan sate peluk gerobak,O
659,coba drop meme gombal andal tco meipn,O
660,hai buat kamu baca menfess sender cuman mau ngasih tau besok km bangkit semangat okay suatu semua bakal baik kamu bakal atas   you have done your best for today have a good rest,E
661,saran lagu buat dimasukin playlist dongg tia tco ehlcyc,O
662,my people call me akukukan but my enemy call me namor maksud apa guys,O
663,tw insecure sender akhir akhir ngerasa insecure banget sender udah sakit minggu pas sakit muka sender muncul banyak jerawat bruntusan cara biar tenangin jerawat gimana ramah kantong soal sender ajar,O
664,kakak kakak nakes bantu jawab aku kurang paham soal aku tadi abis liat orang luar tktok live plastic surgery bilang for educational purposes live kaya gitu https tco znj,O
665,kalian tuju ga sama kalimat kalo cewek suka duluan nt wdyt guys,O
666,mun aku tahap depresi banget sama soal aku ga pernah ngerjain soal ide ga dapet banyak apa latih tetep aja ujung gabisa aku coba ajar awal tetep aja kalau ngerjain soal gabisa waktu aku cuma tinggal bulan aku gabisa cont,N
667,punya ga sih tips biar aku ngerjain latsol,O
668,td nganterin kakak ku dealer honda guys trus nanya nanya harga motor lah tiba tiba nyeplos mulut sembrono mbak kalo nmax berapa padahal situ kaga nmax mbaa mba nya lgsg jawab eheee kalo nmax yamaha mbak mana banyak orang,O
669,cowoku dulu pernah kegep ngepap cewe terus kemaren ngelike snapnya cewe jg punya cowo tp friendly siapa tu nguras tenaga bgt yaa,N
670,kalian klo waxing trs gagal bulu gakecabut kalian ulang udahan dlu,O
671,habis dicurhatin temen jadi rasa jg manusia,O
672,nonton film jepang tuh sih dah nyari gak adaaa mau nonton kalo tau nontonnya plis kasih tau judul even if this love disappears from the world tonight konya seka kara kono koi ga kietemo kata film sedih bgt plis cont tco vddg,O
673,notice mf,O
674,aku masuk org mandiri serba simple gamau ribet eh dapet pasang kalo masalah dikit ribut ngalahin perang dunia anjay mantap info jual pacar,O
675,pikir w penuh banget ken dikeluarin gaada diajakin ngobrol takut kira oversharing ngeluh mulu,N
676,sender sama gagal terus guys knp yaa pdhl udh kasih bedak olesin sesuai tumbuh rambut cabut lawan arah tp ttp gakecabut knp yaa merk waxnya ngaruh ga sihh ak pke brndiva btw sakit bgt woe udh ulang trus smpe merahh tco,O
677,cw rp randomly ken back saranin muse cowok gen gitu gak tia,O
678,cape kerja buka hp lgsg nang tco,N
679,pernah fase bingung lapar lapar endingnya makan engga,O
680,kalo mau ghosting tuh jangan nanggung nanggung mending langsung ngilang jangan ngilang muncul ngilang muncul,O
681,kepala berisik banget yaa,N
682,mau aku curhatin ga masalah cowok,O
683,gais udah usaha baik tetep aja kurang,N
684,apaa guyss tco,O
685,duh sender punya benjol perut kiri bawah besok mau rs doain moga ga napa,O
686,gimana cara jd orang bijak,O
687,aku sama ex crushku aku move on beda kelompok buat pagelaran aku sama sama sama jadi keyboardist emang udah pro aku baru ajar jiwa competitive aku gamau kalah sama jadi aku pesimis takut jadi jelek,N
688,tempat kalian tinggal deket resto makan minum kenal sebutin,O
689,your unlike things,O
690,guys aku akhir gabisa nang kek nahan gitu pdhl aku sedih bgttt blm lega klo blm nang,N
691,tau ga cara repost story instagram lama gimana tia,O
692,pernah ga si kalian diem doang bilang judes muka kek judes padahal biasa aja,O
693,aku kira bakal kosong mlompong tco,O
694,tau nggaa jual masker duckbill cap permen love smile bulan gituu bentuk lucu plis kasih tau sender kalo di oren yahhh thankyou titip tco,O
695,pap last chat todaaay,O
696,pagi adik kakak om tante cing,E
697,ngerjain tugas gak buka google krn cuma punya kuota sosmed main twitter bilek tco nuazpvhnsw,N
698,guys rasa punya temen banyak gimana deh ak penasaraaannn,N
699,beberapa bulan aku kan gamon terus hari tepat hari pertama aku sama mantan jadi jadi aku coba baca chat lama aku ga ngerasa sedih samsek apa aku udah move on,O
700,tau ga template apa edit mana makas sblumnya sc pinterest tco hhsgfsrgbn,O
701,guys saranin lagu macam orchestra gtu dong nada bkin relax gtu gapapa thanks,O
