,finale,sentiment
371,siap tuju gus,A
372,ni tuju jangan normalize,A
373,mjb tuju gua,A
374,tuju sekali jalan tengah bijak moga jadi opsi selesai,A
375,tuju sii kadang sisi tuju alias kalau mau cemburu lo siapa,A
376,tuju g banyak ngeblok publik figur ga enak liat gua ngepost jek gitu buat apa,A
377,tuju banget jrit vocalnya merinding parah tco jbjlk,A
378,om ded jujur deh lama kerja utk bin kan bpk angkat om ded mantan ketua bin mungkin lama jasa bocor dunia hitam dunia artis teman komika oknum harga baik angkat jadi letkol tituler klo alas tuju om ded,A
379,tuju gus,A
380,woi serius laron makan ga mual,C
381,canda serius tco orshfjaluv,C
382,tags bxb college au local au fluff slice of life notes penggal kisah romansa sederhana jadi jangan ambil hati judul kurang s mohon maklum,C
383,serius siapa,C
384,anjir gue udah jarang bgt ngomong serius cuma gelitik ajaa sama bbrp ig mutuals gue pernah jadi coworker bahkan spv gue tuh tauu rasa kalo woyy brand company lo bom settle sisi manajerial tuh amburadul banget,C
385,tuhan aku benar benar ketemu buaya darat sekarang aku gabisa bedain mana cowo seriuscintasayang mana engak haha,C
386,mending beli live theme skz gak aku uda skz pfp nya uda beli ken beli live theme uang uda buat apa ken serius buat apa,C
387,serius ngeduluin char fav banget dulu soal shenhe buat complete team ayayaku moga kespook wanna hug tco jmode,C
388,nah,C
389,kuartal iii laba bri terbang besar year on year yoy bri serius terap esg kinerjabriq,C
390,drama pertama w latar raja drama buat w akhir nnton utqu gua gak drama raja krna trllu bnyk istilah raja bikin w pusing drama buat w gak trllu pusing sma istilah krna alur gak trllu serius tco,C
391,beneran dah mending tugas individu grup begini gapapa banget dah banyak mah bocah kelas ku banyak kalau urus tugas ga serius canda mulu ampe kagak kelar kelar dah tuh tco hmpqynucit,C
392,sama kadrun inti jgn terlalu tanggepin serius aja entar ikut jd kok,C
393,serius sini rasain stop samsat carrefour wkwk,C
394,ahy ungkap tiga masalah serius ri demokrats ahy pimpin ubah berjuangbarengahy tco,C
395,waktu mode serius troll teman bangsat tco ttdkguenzw,C
396,deh buat kakak kudm klo serius kak,C
397,gqmoty hadirrr coba hadiah udah tahun gue gak pernah pesan jiwa toast serius tco wxptodjo,C
398,serius lihat dah,C
399,tanya serius cara bungkus gimana sih newwiee legoxtaynew tco guohp,C
400,lho cari anak buah si oneng hehehe,C
401,kalo punya kucing aku gk benar laku mama tp coba masalah kamu lebih jaga sama hati hati sama kondisi kucing mama,C
402,hati hati,C
403,ajar nolak jgn takut sama siapa sama guru ppl,C
404,adek gua lebih nder kalo pasang behel makan hati hati banget dulu adek gua kalo makan apel gaboleh langsung gigit takut bracketnya nyangkut,C
405,hati mungkin selimut kelabu dingin panjang panjang jalan kenang singgah hati hati ayam enak makan jangan banyak kayak apa sih punya sendiri kan,C
406,mngerikan hati hati,C
407,jalan sayang planrathavit tco,C
408,deket hoon hyung ikut ngebughati hati tco xafjum,C
409,kavin nnti pas hati hati pulang yh,C
410,minum gelas kalau lepas pecah cinta hati selalu ikhlas cinta buta makan hati,C
411,hati hati jangan silap langkah,C
412,kadang mikirin aja udah bikin nang bangga banget sama koko rantau satu juang ga mudah nekat pergi jauh negeri orang kalo sampe nyakitin awas aje,C
413,hey u urat kenceng awas ledak,C
414,lee awas ye tandain luuu tco,C
415,iya disimpen awas kalo jadi pengganjel lemari,C
416,dik awas nyamuk masuk,C
417,awas aja kalo besok beneran jadi malem trs ngapain td nyamperin ambil ktp guwehhh,C
418,awas bang jali,C
419,ntar ganti pas irun update wkwk awas aja lama ilhoon,C
420,rokok mahal banget anying beli berapa cokelat nyesel nawarin ram marlboro awas u man pelit ma gua esse u gua ganti marlboro kane kan,C
421,nonton kece jagain ponakan kembar nih nder tp awas jgn kenceng volume tar km budeg tco jrnjudo,C
422,joanna,C
423,awas kangen,C
424,ga bs nonton berak,C
425,awas terkam loh po gqmoty tco,C
426,awas aja ntar sifat plek ketiplek bapak wkwk,C
427,sakit nih tamira sama zack beneran sakit jiwa sampe gak penjara tahun awas aja lo anjirrr sakit lo,C
428,ih eyan awas surup,C
429,awas lo kalo sampe ngide bikin stage buat jet musuh aku hapus semua foto galeri tco,C
430,hduh awas sruduk banteng merah,C
431,yayyy awas galau pulang,C
432,halo kalo line nerima pesan ga kirim pesan jadi kirim orang kirim chat gabisa liat chat ga kirim,C
433,halo tanya tau cara jernihin tajemin kamera pake apa ga using sumsang pecah kalo buat zoom in pas ngevideo thanks,C
434,halo gais mau nanya pernah psikolog ga kalo daerah jakarta yaa terus pake bpjs ga kalo pake bpjs gimana cara makasih yaa hehe titip,C
435,cw gigi titip halo milik keluh gigi gambar lampir seluruh awat laku koas bawah awas dokter gigi spesialis area jogja dm gratis tco xwraw,C
436,halo mentemen sini punya small business butuh temen diskusi buat ngomongin bisnis aku project damping umkm jangka waktu mulai minggu depan minggu aku uas mekanisme kaya diskusi ngobrol biasa aja minggu cont,C
437,halo semua mau bantu isi survei buat tugas gaklo mau rep aku dm makasihhh,C
438,halo gais aku minta utk bantuin isi kuesioner skripisi ku ga kriteria nya usia sedang kerja aktif media sosial kalau mau bantu isi rep aja yaa aku infoin form nya thankyouu gais smoga cont,C
439,halo gais minta partisipasi buat ngisi kuesioner tugas teliti makasih gais be happy tco pue,C
440,nemu anak lucu anon klo lewat tl nya halo anak keciil u masuk base nih tco egqwhz,C
441,halo guys spill au anime dong tia ti ti pan,C
442,halo umur ku tb kira kira sempat buat tambah tinggi batas nya kapan bantu kasih tau tips olahraga makan apa aja dilakuin buat tambah tinggi,C
443,halo aku nyari responden buat teliti kriteria usia tahun pernah belanja live shopee yg sedia bantu isi kuisionernya hadiah total buat orang untung linknya rep yaa thank you,C
444,titip halo ges pernah ngerasa burnout tempat kerja ga jadi tiap berangkat bawa mau nang terus ngatasin stress kerja gitu gimana kalo kalian makasih,C
445,halo guys pake laptop gak minta review nya punya rekomendasi laptop under tco,C
446,halo mau bantu like youtube buat tugas sender mau blh rep sender kirim thank you,C
447,halo bantu nya titip tco mzv,C
448,halo mau nanya dong step sblm pake masker gimana bener cuci muka dulu pake micellar water aja step bilas juga gimana karna aku bingung thank u tco mef,C
449,halo guyss rekomenin dong koper murmer bagus kalo di syopi yaa thank youu,E
450,gaiss malu bgt kan jaring rumah tuh super duper lambat awal aku nyapa haloo kak tp pesan kirim kaya loading terus nah aku kirim pesan halo kak langsung to the point inti trs pas udh jawab sama adminnya eh pesan loading cont tco gjrxm,N
451,halo kenan bantu tugas buat pemograman php tia,C
452,benci bgt sm diri sendiri kalo lg moodswing gin,N
453,ngerjain tugas banyak kgk masuk akal tenaga gue lngsung abis rasa,N
454,izin ku benci sang ganti,N
455,ken ngobrol sama kucing aja capek ngobrol sama manusia,N
456,bosen banget,N
457,sekarang udh masa cape harap sama manusia mending harap sama allah aja hehe,N
458,gn everyone sleep well tco,E
459,aku cewe jg thankyou sebelumnyaa,A
460,i know ur not okay right now babe but remember that besok pas,C
461,nyadar orang paling aku butuhin nyata ngajarin aku buat ga butuhin siapa siapa,N
462,sender nang terus tetangga kost kamar jauh dr sender ngechat gin langsung henti soal kaget nyata kedengeran jauh tco lha,N
463,sok blagu tau bola katanyatiba jdi fans dadakanpdhl apa salah ak cmn nntn doang and ak ghibain k tmn nya fyi cowo salah yah akusmpe gin bgt pamer sw,N
464,hai buat kamu baca menfess sender cuman mau ngasih tau besok km bangkit semangat okay suatu semua bakal baik kamu bakal atas you have done your best for today have a good rest,E
465,mun aku tahap depresi banget sama soal aku ga pernah ngerjain soal ide ga dapet banyak apa latih tetep aja ujung gabisa aku coba ajar awal tetep aja kalau ngerjain soal gabisa waktu aku cuma tinggal bulan aku gabisa cont,N
466,cowoku dulu pernah kegep ngepap cewe terus kemaren ngelike snapnya cewe jg punya cowo tp friendly siapa tu nguras tenaga bgt yaa,N
467,pikir w penuh banget ken dikeluarin gaada diajakin ngobrol takut kira oversharing ngeluh mulu,N
468,cape kerja buka hp lgsg nang tco,N
469,kepala berisik banget yaa,N
470,gais udah usaha baik tetep aja kurang,N
471,aku sama ex crushku aku move on beda kelompok buat pagelaran aku sama sama sama jadi keyboardist emang udah pro aku baru ajar jiwa competitive aku gamau kalah sama jadi aku pesimis takut jadi jelek,N
472,guys aku akhir gabisa nang kek nahan gitu pdhl aku sedih bgttt blm lega klo blm nang,N
473,adik kakak om tante cing,E
474,ngerjain tugas gak buka google krn cuma punya kuota sosmed main twitter bilek tco nuazpvhnsw,N
475,guys rasa punya temen banyak gimana deh ak penasaraaannn,N
476,cowok temenku nanya sifat karakter temenku aku aku gatau jawab apa mending gimana ngeyel ken tau sifat cewenya aku aku udah bilang cari tau sendiri tetep ngeyel,N
477,gue jadi tempat cerita gua pendam banyak cerita ken gua ceritain gatau siapa ahaha,N
478,hai teman jangan tidur teman,C
479,gue katain jelek sama temen cowo gue emang tu anak satu,N
480,kacau kacau ngerjain tugas dengerin lagu cas,N
481,seruu bgtt tauu kalo misal smaa bestie ngobrol nya positif seruu engga ghibah n ga bicarain cowok doank,E
482,somg that make you miss the relationship you never had,N
483,i miss my almost lover engga kuat tadi nang,N
484,i feel so bad for my self,N
485,semua,E
486,all met beraktifitas hari kamis bwat km yank manis tco myvvl,E
487,kata usaha enggak menghianati hasil nilai pas ku jelek banget padahal aku ajar sampe malem,N
488,semuaaa hari sender ulang tahun pas bgt uji doain smoga lancar yaa hv a nice day guyss,E
489,nyata laku positif yaa walaupun sederhana,A
490,cw tik tok ngeri org pinter disalahin mulu tco,N
491,iyh yh mrasa insekur tco,A
492,time to shinee hc haechanie wattayo kl taeil sm jungwoo ak mreka ngomong apa,E
493,classmeet buat apa coi mending libur,N
494,sedih kalo liat papa sender tiba tiba kena sakit stroke rasa kayak jadi cepet banget gak nyangka mau gimana semua udah jadi nerima kan,N
495,hari sabtu lama banget udah muak sama pas,N
496,haloo no salty tp aku mau nanya sini pake ip pro aku mau beyi tp maju mundur kata cepet panas tp aku mau denger langsung penggunanyaa kalau kasi saran baik aku beyi ip pro segi tahan lama cont,O
497,berapa tahun d makasih banyaaak maaf kalo kata salah yaaah,O
498,ngilangin kuning tas tuh gimana sih guyss tas bahan kaya kain gitu,O
499,cwe under liat ootdnya liat tinggi sender nyari referensi,O
500,gin padahal udah diupdate tco,O
501,met jgn mam bnyk,E
502,kasih saran dong gimana biar ngejauh ga chat mulu sama minta main jujur bapek engga risih iya,O
503,au inggris ga spill,O
504,mi ni mal li ma ka ta tco qaz,O
505,klo baca buku inggris ningkatin skill tulis ga sebener nya baca nya nulis nya ga,O
506,enak galau tco iwpdhvdywo,O
507,kalian pas brp hari guys,O
508,komplot begal tco,O
509,barusan gempa guys stay safe semua,C
510,gempa ga sih,O
511,rekomendasi bento cake lucu dong,O
512,bikin corat coret punya qr code brush ibis warna auto gradasi gitu gaakk tia,O
513,saran timbang digital badan kalian pake ngga mudah error dong guys punya sender baru pakai bulan dah error mau gantiii terus mending baterai usb,O
514,dengerin oceans engines nya nik buah seni galau diri,N
515,sebel ga sm org ngomong tuh lelet gitu kata per kata jd emosi sndiri,N
516,when you lost someone bingung mau ceritain random siapa bingung mau kirim foto sama video kucing lucu siapa mau kirim orang i already annoying to him d,N
517,gempa asa sampe depok ga si gais,O
518,mau bantuin isi padlet ultah buat temenku ngga beda kota ni gabisa ngasih surprise langsung klo mau aku dm linknya jangan open dm makasii,O
519,bnrnya jg tco,A
520,guys bahasa inggris jadi lebih siap uji apa yaaa,O
521,aku make concealer somethinc shade sand kalo esqa shade truffle apa pancake yah ken ganti soal heheheh,O
522,seru terus bagus bangeeet nyesel baru nonton saranin sejening gin dong nyata seru nonton orang pinter sharing sharing tco xvilxyfznf,E
523,orang ngatur admin serah adminnya lah mau ngapain twitter semua bebas gua sendiri ngga peduli kalau mrpk strategi partai biar pilih milu krn adminnya emang asik kok tco hahymxrtsh,O
524,ciwi ciwi kalian workout kalo red days hari workout ga libur dulu,O
525,leeseo ive mirip jedar apa gue doang ngerasa,O
526,halo aku mau tanyaaku udah sakit pinggang kiri bawah bulan sakit sampe kaki chat halodoc kata kena saraf tp kemarin konsul klinik tes urine ktnya infeksi salur kemihmau tnya kalo infeksi salur kemih smpe sakit kaki kahmungkin sini cont,O
527,dokter tau mslh kaki sakit bgt rasa,O
528,sick and tired,N
529,tangan kalian pernah gksih gatel kek gatelnya klo garuk jd agk panas gtu pls help gimana biar ga gatel lg btw jd agk lenting gtu dikit tco uokte,O
530,guys kira bagus mana buat anak sma biar sampe kuliah rekomendasi terima kasih tco dunw,O
531,cara biar twit tulis kayak gitu gimana tco flpxngskeg,O
532,mau nonton dimanaaa tco aakjrgycmk,O
533,tbtb pikir tahun kemaren ak ganti chairmate sampe kali dlm tahun apa aku bikin gnyaman chairmate akhir tu ky paksa karna mau naik kls abis naik kls lgsg pindah sekolah,N
534,self rewardku tiap minggu pas sabtu naik ojol biar cepet sampe rumah biasa macet an naik angkut umum kalau kalian,O
535,gais mau nanya kucing jamur gimana btw meng sekolah tco ypigvtclyp,O
536,dongg hehe tia tco,O
537,iri iri iri iri iri iri iri iri,N
538,sekarang apa apa kaya standar cantik chindo sender jalan sama temen cowo ngomongin chindo sama sama,O
539,mwt tco fjq,E
540,mau tanya dong kalian umur pake skincare dr gak dipake org dewasa gas formula nya ngaruh kulit ga terimakasih,O
541,sender bu rencana mau jual kira jual apa banyak minat tia,O
542,orang ga pernah pacar tbtb pagiini ad blg kamu milik aku gwe hrus apa,O
543,rill tco,O
544,titip tolongin guys gimana tco,O
545,guys mau nanya kalo mau buat atm mandiri tuh kudu nginstal app livin dulu ga usah bank dulu kalo uda daftar baru bank nya emang gitu,O
546,pliss tolongin senderr panik bgt huhuu jadi aku kan bikin surat confess gtu crushku nah sender abis mandi cari tu surat g curiga baca kakak ortu aku mesti gimana ntarrr,O
547,classmeet mending turu rumah,N
548,aneh gak tco dydkkwbhdx,O
549,abis debat ama ortu perkara uang aku baru kasih uang bilang ngga syukur padahal aku butuh udah bulan lalu bilang ngga tau diri lah padahal udah telat banget ngasih uang udahlah cape aku jadi anggur disalahin mulu ngga cont,N
550,protes,N
551,bantuin sender nyari desain tunik simpel buat jahit dong bentar udah disuru motong kain tpi sender dapet inspirasi,O
552,how to speak fluent english serious answer only a thread,O
553,sgt kece bkan tco tjwxfb,E
554,mau nanya kan kata jaring mau mati ganti kartu gimana benar mati jaring internet kartu,O
555,saran gais tco jrf,O
556,capek tau tco vfi,N
557,cw rp roleplayer guys is it okay if i use kim garam ex le sserafim for my chara i miss her,O
558,aku bukan mau ikut aku erti ekonomi keluarga,C
559,cw food jadi sender beli ayam md kemarin soal pingin makan kriuk rencana makan nah hari kulit melempem cara biar balikin kriuk kriuknya gmn thankyou,O
560,iya soal aku ngga kerja suruh rumah aja kaka aku nganggur lebih tahun tetep kasih uang saku ngga nuntasin skripsi aku minta uang buat bootcamp sama beli laci buat baju lebih rumah biar ngga beranta apa daya cont,A
561,ngga jadi debat deh urus ama ortu aku skripsi dulu nyari duit sendiri emang cuma aku magadir rumah udah ngga kerja ngga minta uang emang pantes kok disaltyin aku tco todsqzdtbp,O
562,hari kamis tco inidyz,O
563,guys kirim foto ktm buat jadi timses cakabem aman ga sih takut wkwk,O
564,cuci piring kerja rumah paporit akuhh ceunah tco,O
565,dri kmarin guru gue kgk masuk kelass mlu dhh dri ampe pulang sekolah jamkos mulu,N
566,ttd digital terus stempel gak apa ttd basaah,O
567,tutup akhir tahun mau sharing dong apa masalah berat umur kalian sekarang bagaimana kalian keluar masalah sebut apa hikmah balik semua mungkin jadi ajar buat sender cont,O
568,makasih udah tahan jauh yaa kamu hebat terima kasih,E
569,kalian pernah ga sih kalo ngerjain soal tuh ga pd sama jawab sendiri padahal bener poko ngeliat jawab orang paling pinter kelas dulu baru lega jadi kaya gantung gitu,O
570,halo minta saran pilihin buku sini sender bingung mau milih kado ultah buat diri sendiri bulan depan kalau pernah baca jg kasih ripiu nya makasih tco dprbero,O
571,kalo mau malang enak bawa budget berapa exclude inap soal rumah nenek,O
572,knp sptfy malah gak munc lirik pdhl update putar lagu lirik,O
573,misal temen sender post tiktok trs likes gak sender liat siapa aja like video kaya ig gt sori gaptek baru,O
574,duduk antri puskesmas trs cewe liatin terus apa samperin aja terus colok mata,O
575,udah ngegacha kali td gacha sekali yay nay,O
576,drop last chat with your mom,O
577,kelas gue dengerin lagu pake speaker ketawa gebrak meja teriak teriak rameee bangett ampe pusing dengernya,O
578,mau ngasih ig aku mutual lawan jenis udh lama kenal lama kok takut aku gendut gak cakep takut illfeel trs gamau teman lg sama sender,N
579,dilakukam orang tua profesional tco yfufkccdj,O
580,beda senar gitar nikel ukur sama asa banget ga soal gitar putus mau beli ofc store tinggal ukur pas browsing banyak nyaranin ukur aku mula btw,O
581,kalian punya kenang apa waktu usia tahun kalo sender nang gara rebut pop icebasreng sama abang btw bantu upp yukk anak susah buat dar makan sekolah tco,O
582,ken cpt lulus sekolahhh gue udah muakk bgt ketemu orang ituu aaakkkh benci bgt,N
583,cara hilang ngantuk tidur apa,O
584,halo kenan bantu like postan tugas aku ig aku dm thank uu,O
585,risih dichat gin nomor ga kenal emg nomor wa kalo beli olshop sebar jaman sekarang tco,N
586,meme gambar kucing dong guys tia,O
587,sender tugas pkwu bikin undang nah sender bingung mau kasi nama siapa mempelai kasih saran dong nama bagus nan estetik cwo cwe,O
588,cw luka minggu lalu kaki kena knalpot motor so far ga aku kasih apa apaa trs tbtb gelembung air nya gelembung air pecah kena gesek celana trs jadi kaya pict gatel bgt dipakein salep obat apa tco zxlvzt,O
589,clinic barcode nya udah ready,O
590,hi gimana hari,E
591,mau nanya dong face id dipake buat ngelock galeri gas jd kalo mau buka galeri photos pake face id gitu tco jegaykqz,O
592,ayo beri tau aku masukin lagu rock apa tco,O
593,gais download jurnal internasional gratis tu dmna yaa butuh bngt buat tugas uas huhuhu,O
594,apple music aku kan abis lama kalo aku masukin redeemcode bakal angus ga tco iqxwq,O
595,cinta cinta alas,O
596,siapa tahu ken nyimpen tco var,O
597,minta bantu gais paham per burung biru tco,O
598,kalian nonton ga tco,O
599,gais sender udah kelas sma punya skincare rutin mauuu bgt skincarean buat sehat kulit pake ss fw mz selalu jerawat detox emang ga cocok yaa beberapa hri udah pake fw garnier scrub muncul jerawat cont,N
600,kalian saran produk pas biasa dipake makasih banyak,O
601,nonton piala dunia dimanaa yow,O
602,mantan pernah dedikasiin lagu dawin dessert buat gue apa muka gue lihat kotak wadah bittersweet,N
603,yt bahas soal dunia pararel ga sih klo bahas nntn gtuan bgt pdhl percaya ga percaya wkwk,O
604,kalian bakal isi berapa tco,O
605,kalian aku wajar ngga sih kadang marah bt kalau tinggal tidur sama pacar masalah uda sering banget kadang hari tidur emang pelor sih aku awal oke cuma waktu aku lg feeling down aku butuh kadang cont,O
606,ngga krn tidur jadi aku feeling lonely kalau aku mau marah aku ngerasa gaenak,N
607,kalo ngetweet komunitas terus jbjb masuk mentab gak,O
608,peta topografi tuh sama aja kyak peta miring lereng ga sih,O
609,terkadang ketidaktahuan tetap jadi ketidaktahuan,O
610,mau meme kepala ledak gak,O
611,spotify error,O
612,at a payphone,O
613,ajar nguasain materi selalu ridi ulang tco bnlgtn,N
614,kalo gaada uang ga punya temen deket mau pulang waktu habis jalan jam nunggu kelas ngapain enak sender udah bosen nongkrong depan indomaret pustaka bosen tco rogibddbnu,O
615,aku hari ultah,O
616,forget to drink water guys aku ku kerja jam paling minum tuh teguk aja dlm hari kadang malah gak liat minum sama sekali imun gak kuat jd sakit,C
617,basreng kantin sekolah gueee enakkk bangettt garing pas engga keras rasa daun jeruk nya asa tco ibrquc,E
618,yah nama hidup kadang kidding,N
619,baru tau whatsapp sekarang avatarnya tco,E
620,panggil ky gin tu darimana apa modus tipu baru tadi telpon nomerku terus tco,O
621,solo trip jogja wdyt aku cewe,O
622,jjur ak gedeg bgt sm orang kerja gk sbrapa tp istirahat lama bgt kek soal ak bayar pake berlian ni maap maap aje trus kalo ak telat ngasi kerja gamau panjang jam kerja nya tco rdvu,N
623,tunjukkin chat nice try kalian dong ken liat teman juang ku,O
624,please help me choose tia tco oal,E
625,cara nyari info magang dmn,O
626,kertas biasa nemu yaa,O
627,w kan beliii sikat bulu mata yhaaa trs dateng banyak tuh emg pake lgsg buang apa gmana tco btas,O
628,gais blackpink teh punya lagu bahasa sunda temen aku denger musik meuni heboh make handsfree pas aku tanya denger musik apa bilang blackpink judulna ti pager,O
629,gua m dighosting sama f padahal udah deket bulan an f pernah ngeghosting sini kalo izin aku ketuk dm nya ken cerita sama nanya insight terima kasihh,O
630,kalian ga udah ga minat sama banyak kayak udah capek aja gitu,O
631,emang mia khalifa beneran udah tobat,O
632,mau suprise temenku virtual kata kalian cuekin hari pas ucapin ultahnya gimana gais no zoom gmeet yaa,O
633,klian pake moist sk ngame ngga buat ngurangin bruntusan sender maju mundur mw beli makasii,O
634,cara biar smngtt idup gmn yahh loyo bgtt asa,N
635,baru tau spotify lirik translate bahasa indonesia tco,O
636,mau pict se vibe sama dongg tco cus,O
637,guys meme jenis gin dong tco xlpguxpt,O
638,ken survei rerata usia folls convo kalian tahun usia berapa,O
639,game offline seru apa aja guis,O
640,mo tanya aja kalian pernah gak ngerasa sama orang siapa pacar bestie kalian ngerasa jadi banyak baik dateng kalian gk selalu kyk aja gitu baik jadi bilang life savior lebih sih cuman kek gatau cont,O
641,dakh knp yh,N
642,aku rencana mau be yi hp bingung ip mini kalo make ip mini liat mirror selfienya ga aku mau bandingin soal makasihh,O
643,reapply sunscreen ga cuci muka dlu gpp,O
644,nya ijo bantu tag joelwafies tia,O
645,kl buat nugas kira jajan apa indoapril saran tia,O
646,kalian pernah ga sih nemu orang kaya gin jadi si a punya pacar si b punya pacar si a sama si b macam fwban kalau begini tuh kok,O
647,ges kl order mekdi mesin pake voucher app ga sih kl cara gmn,O
648,kalo ngelike playlist orang tau ga,O
649,guys inituh app spotitats kalo aku click delete my account app spotify bakal tia tco vzk,O
650,pas liat nilai jelek pas tau kelas ridi semua tco,E
651,rekomendasiin kuliner malang dong mau aku masukin list buat libur kesana,O
652,tato lutut sakit bgt gak,O
653,hai sini tiktok affilate kalo mau tanya dong aku mau coba tiktok affilate aku new bie,O
654,matmin sama gk ridi sama tco,O
655,klean nyalain notif mutual ga sini sejak kapan kalo berani tag dong orang,O
656,guyss kan aku tugasnah nilai nya liat dr like dipostingnya jadi mau minta bantu like nyaa link nya aku share by dm yaaa tia,O
657,guys aku kaget bgt nyata aku lama jadi selingkuhannyaa wkwkwk udh pcran sm cweknya hampir lebih ngaku jomblo pdhl pas aku stalk ignya haeduh gws buat cwok skrng jahat bangett lngsng aku cut off blokir semua,N
658,markicob unik apa sih sampe rekomendasi tco cjnl,O
659,pake smartfren sinyal nya tiba hilang ga kaya gin padahal tadi aman aja gitu tco,O
660,guys pernah gin gak kalo wifi nya matiin langsung gk jaring gilir aktifin wifinya sinyal tpi logo telpon gitu cara benerinnya gimana tco,O
661,minta saran jadi orang asyik selalu rame jb jb in dong,O
662,ga penting sih tp ni aku mau confess cowo gais mau baca ga aku ken tau kalo orang baca gmn bantu revisi mau ntar aku dm,O
663,enak main apa yak,O
664,januari besok tahun aku pake hp pas banget ultah aku jg enak upgrade ga kalian biasa upgrade handphone brp tahun sekali,O
665,haloo jadi sender baru aja gak sengaja ngehapus semua foto file penting hp permanen cara biar dibalikin gimana plss pusing banget,O
666,tetep semangat tengah gempur sempro semhas tco gdfce,E
667,halloo mau bantu ucapin wish padlet buat ultah temenku ga,O
668,wta nonton film me before you legal mana tia,O
669,rekomendasi lipbalm warna bibir dongg thx yaa,O
670,sate pas trnyata sgt enak aku beli dapet tusuk tco,O
671,wajar gas aku marah sepupu aku soal make barang barang enak bilang aku marah malah bilang lebay pelit,N
672,kalian pernah ngalamin gasih kalo tiap selalu mual gitu cuma beberapa menit aja btw aku nikah ga ngapa,O
673,guyss kemaren kan w format kartu sd gara ga mindahin file terus abis w format tu kartu sd w ga mau muncul hp pdhl udah w restart hpnya kira,O
674,ss clinic barcode nya udah ready,O
675,sakit perut mulu gak sih,O
676,inti kalian guys btw soal cerita culi bocil valid guys soal nyokap sempet mastiin ketua rt nyata beneran jujur rem zaman sekarang tco zbyutthifl,C
677,ciahhh dibisikin hati hati waktu papas jalan pulang aja salting brutalll wkwkwkwkwk dasar aku,C
678,guys sender hampir aja kena tipu bodong nyamar gojek kalian kalau mau nyampaiin keluh lihat dulu official enggak takut jadi kayak sender hampir kena tipu https tco vbbdoq,C
679,guys kalian komentarin mulai sekarang lebih soal kemaren sempet baca gitu kata kalo nyerang rizky billar lesti ngomentari hidup mau cari siapa cinta nabi bahagia hidup,C
680,bikin planner nyata seru kalian cobain deh jadi semangat ngikutin jadwal tco,E
681,rakyat kelas kalian semangat sender uda lemezzz bgtzz soal,E
682,titip minta semangat nya yaa tco,E
683,kalau edar vaksin imunisasi semangat banget soal suntik siapa jugaaa tco ttkwwjxdxu,E
684,pagi guys moga hari aku kalian lancar segala urus rejekinya amiin ayok semangat,E
685,kasih semangat buat aku dong soal baru februari udah gin aja ldr emg susah https tco twddfrp,E
686,moga giat hari jalan lancar hehehe semangat,E
687,sender udah kuliah random kangen sama notif ltmpt deh soal dulu notif ltmpt selalu dinyalain biar engga tinggal info bahkan sender matiin notif pas udah kuliah bukan anak sekolah btw semangat juang ptn,E
688,januari tahun dah mau habis aja bom gera moga bulan ikut nya lebih maju dr yah semangat tco skvtjdvesd,E
689,semangat sayang,E
690,tips kerja bidang cs biar ga gila dong guys sebenernya emang resiko kok ketemu cust aneh rude bahkan jahat tuh kayak gitu orang mah lomba nabung pahala malah semangat nabung dosa your attitude shows your quality as human cont,E
691,nang soal temenku hari pamit keluar kerja haha aku sendiri padahal baik banget sama aku pls ga rela gimana jadi ga semangat kalo kerja ga kek dulu,E
692,kasih semangat dong sender lg period sumpah perut sama pinggang belakang gx karuan tp harua tetep kuat buat kerja ajar sender jomblo jd minta semangat sini,E
693,bismillah rezeki ga mana semangat guys,E
694,moga hari senin mu semangat tco qab,E
695,denger ortu ribut pas sholat subuh is another level of pain skrng jadi gak semangat buat sekolah pls,E
696,semangat buat semua jangan sarap sama minum air putih cukup have a nice day fellas,E
697,sahur buat puasa semangat puasa semangat buat hari moga lancar hari yaa,E
698,beri sender semangat umpat teman kelompok sender suruh cari materi trs beneran ngirim materi copasan google bener copas acak an gilir suruh baik malah ga aktif wanya,E
699,ga ngobrol bukan arti asing punya tanggung jawab selesai tetap semangat suatu ngobrol canda tawa i still waiting for it,E
